ICAO	Latitude	Longitude
BIKF	N635906	W022402
EBAW	N511122	E004313
EBBR	N505405	E004330
EBLG	N503811	E005303
EBOS	N511156	E002514
EDDB	N522144	E013300
EDDF	N500200	E012341
EDDH	N533749	E013631
EDDK	N505157	E011123
EDDL	N511651	E010452
EDDM	N482114	E011511
EDDN	N492955	E011044
EDDP	N512526	E012141
EDDS	N484124	E013131
EDDT	N523335	E013211
EDDV	N522737	E013410
EETN	N592448	E024535
EFHK	N601902	E024614
EHAM	N521829	E004455
EHEH	N512700	E005222
EHRD	N515725	E004301
EKBI	N554425	E013130
EKCH	N553705	E012432
ELLX	N493724	E010121
ENBR	N601737	E005130
ENGM	N601210	E011050
EPKK	N500440	E023510
EPKT	N502827	E023044
EPWA	N520957	E020620
ESGG	N573936	E012212
ESKN	N584719	E020541
ESSA	N593907	E021550
EVRA	N565525	E023621
EYVI	N543813	E025211
LCLK	N345244	E033414
LEAL	N381656	W000332
LEAM	N365038	W002221
LEAS	N433349	W010020
LEBB	N431804	W002543
LEBL	N411749	E002044
LEBZ	N385329	W010531
LECO	N431807	W012223
LEGE	N415403	E002453
LEGR	N371119	W003503
LEIB	N385222	E001222
LEJR	N364441	W010033
LELN	N423519	W005432
LEMD	N402820	W003333
LEMG	N364030	W004335
LEMH	N395145	E004130
LEPA	N393306	E002442
LESO	N432123	W001512
LEST	N425347	W012245
LEVC	N392922	W000325
LEVD	N414222	W004510
LEVX	N421345	W012413
LEXJ	N432537	W003531
LEZL	N372505	W005535
LFBD	N444943	W000425
LFBT	N431108	W000001
LFCK	N433318	E002212
LFLL	N454332	E005045
LFMD	N433247	E010611
LFML	N432612	E005125
LFMN	N433955	E011125
LFOB	N492716	E002104
LFPG	N490035	E002325
LFPO	N484324	E002224
LFQQ	N503348	E003051
LFRN	N480419	W001435
LFRS	N470925	W001402
LFSB	N473524	E011314
LFST	N483231	E011420
LGAV	N375612	E023604
LGIR	N352023	E025104
LGKR	N393607	E023544
LGMK	N372614	E025205
LGSR	N362357	E025324
LGTS	N403111	E022621
LHBP	N472622	E023154
LIBD	N410817	E020455
LICJ	N381055	E013055
LIEE	N391450	E013032
LIEO	N405355	E013310
LIMC	N453748	E012432
LIME	N454008	E013420
LIMF	N451209	E011425
LIML	N452658	E013204
LIPE	N443151	E011214
LIPH	N453903	E012115
LIPX	N452347	E010531
LIPZ	N453019	E012210
LIRF	N414801	E012142
LIRN	N405304	E014212
LIRP	N434058	E010234
LIRQ	N434831	E011121
LKPR	N500603	E014153
LMML	N355127	E014323
LOWW	N480637	E020341
LPPR	N411408	W012404
LPPT	N384627	W013120
LSGG	N461418	E010103
LSZG	N471053	E011245
LSZH	N472729	E012325
